[2026-03-22 22:13:49] [INFO    ] discord.client: logging in using static token
[2026-03-22 22:13:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Mock', 'primary_guild': None, 'mfa_enabled': True, 'id': '1484287977503850506', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1889', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '44ceb7f7638961cfa499c9d0c3bd342a', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1373836529390190602'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'atlanta', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1484287977503850506', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-d-cdpk",{"micros":172789,"calls":["id_created",{"micros":1780,"calls":[]},"session_lookup_time",{"micros":2861,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"sessions-prd-gcp-us-east1-d-94",{"micros":167655,"calls":["start_session",{"micros":124801,"calls":["discord-api-rpc-55d7dbc46f-wwbk7",{"micros":42801,"calls":["get_user",{"micros":12969},"get_guilds",{"micros":3608},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":190},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1421},"apex_experiments",{"micros":65839},"sessions_experiments",{"micros":8},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":72,"calls":[]},"presence_started",{"micros":318,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":42356,"calls":[]},"connect_finished",{"micros":42374,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-22 22:13:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-22 22:13:50] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 44ceb7f7638961cfa499c9d0c3bd342a).
[2026-03-22 22:13:50] [DEBUG   ] discord.client: Dispatching event connect
[2026-03-22 22:13:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'roles': [{'version': 1747618553368, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1373836529390190602', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750514752676, 'unicode_emoji': None, 'tags': {'bot_id': '684773505157431347'}, 'position': 1, 'permissions': '287804091672', 'name': 'FlaviBot', 'mentionable': False, 'managed': True, 'id': '1385984069900439585', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750514853217, 'unicode_emoji': None, 'tags': {'bot_id': '762217899355013120'}, 'position': 1, 'permissions': '395962534937', 'name': 'TempVoice', 'mentionable': False, 'managed': True, 'id': '1385984491813863567', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751224896663, 'unicode_emoji': None, 'tags': {'bot_id': '235148962103951360'}, 'position': 1, 'permissions': '10191898143990', 'name': 'carl-bot', 'mentionable': False, 'managed': True, 'id': '1388962629728604213', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759881633747, 'unicode_emoji': None, 'tags': {'bot_id': '778719049143025664'}, 'position': 1, 'permissions': '3164160', 'name': 'Spoticord Music', 'mentionable': False, 'managed': True, 'id': '1425271616732139606', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1768245098271, 'unicode_emoji': None, 'tags': {'bot_id': '437618149505105920'}, 'position': 1, 'permissions': '2252126768590024', 'name': 'EasyPoll', 'mentionable': False, 'managed': True, 'id': '1460350529229295659', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1773953289320, 'unicode_emoji': None, 'tags': {'bot_id': '1484287977503850506'}, 'position': 1, 'permissions': '8', 'name': 'Mock', 'mentionable': False, 'managed': True, 'id': '1484292417963167797', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1773954178690, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Team 1', 'mentionable': False, 'managed': False, 'id': '1484296148427477053', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3447003}, 'color': 3447003}], 'region': 'deprecated', 'soundboard_sounds': [], 'premium_progress_bar_enabled': False, 'afk_timeout': 300, 'activity_instances': [], 'premium_features': None, 'unavailable': False, 'premium_progress_bar_enabled_user_updated_at': None, 'banner': None, 'profile': None, 'default_message_notifications': 0, 'verification_level': 0, 'max_members': 25000000, 'max_stage_video_channel_users': 50, 'nsfw_level': 0, 'features': [], 'premium_subscription_count': 0, 'emojis': [], 'system_channel_flags': 0, 'id': '1373836529390190602', 'home_header': None, 'name': '🐈🐈🐈', 'member_count': 17, 'stage_instances': [], 'channels': [{'version': 1747618553375, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1373836529885253733', 'flags': 0}, {'version': 1747618553388, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1373836529885253733', 'name': 'general', 'last_message_id': '1485353858430664855', 'id': '1373836529885253735', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1750514873086, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'name': 'General', 'last_message_id': None, 'id': '1373836529885253736', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1750514895450, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 1, 'id': '762217899355013120', 'deny': '0', 'allow': '556813328'}], 'name': 'Empty Tables', 'id': '1385984534071349300', 'flags': 0}, {'version': 1750514950705, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 1, 'id': '762217899355013120', 'deny': '0', 'allow': '556813328'}], 'parent_id': '1385984534071349300', 'name': '➕ Create Table', 'last_message_id': None, 'id': '1385984535161733120', 'flags': 0, 'bitrate': 64000}, {'version': 1750514863788, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 1, 'id': '762217899355013120', 'deny': '0', 'allow': '556813328'}], 'parent_id': '1385984534071349300', 'name': '✨・interface', 'last_message_id': '1385984537242243144', 'id': '1385984536239804456', 'flags': 0}, {'version': 1751226661205, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1373836529390190602', 'deny': '0', 'allow': '0'}], 'parent_id': '1373836529885253733', 'name': 'poker-nights', 'last_pin_timestamp': '2025-06-29T19:48:18.875000+00:00', 'last_message_id': '1399835565062492351', 'id': '1388961803890983084', 'flags': 0}, {'version': 1751224927518, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1373836529390190602', 'deny': '1024', 'allow': '0'}], 'parent_id': '1373836529885253733', 'name': 'bot-spam', 'last_message_id': '1485434674363760761', 'id': '1388962736083570889', 'flags': 0}, {'version': 1774202890681, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': 'Blood on the Clocktower', 'id': '1485339322184892518', 'flags': 0}, {'version': 1774202912997, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1373836529390190602', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '1484287977503850506', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '138119027871449088', 'deny': '0', 'allow': '1024'}], 'parent_id': '1485339322184892518', 'nsfw': False, 'name': 'channel-name', 'last_message_id': None, 'id': '1485339415172874445', 'flags': 0}, {'version': 1774216166807, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '1373836529390190602', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '1484287977503850506', 'deny': '0', 'allow': '1024'}, {'type': 1, 'id': '138119027871449088', 'deny': '0', 'allow': '1024'}], 'parent_id': '1485339322184892518', 'nsfw': False, 'name': 'test2', 'last_message_id': None, 'id': '1485395006234562590', 'flags': 0}], 'premium_tier': 0, 'threads': [], 'large': False, 'joined_at': '2026-03-19T20:48:09.356000+00:00', 'mfa_level': 0, 'vanity_url_code': None, 'max_video_channel_users': 25, 'icon': None, 'description': None, 'guild_scheduled_events': [], 'discovery_splash': None, 'game_application_ids': None, 'application_command_counts': {}, 'lazy': True, 'incidents_data': None, 'owner_id': '138119027871449088', 'application_id': None, 'safety_alerts_channel_id': None, 'voice_states': [], 'rules_channel_id': None, 'public_updates_channel_id': None, 'nsfw': False, 'afk_channel_id': None, 'inventory_settings': None, 'splash': None, 'latest_onboarding_question_id': None, 'presences': [], 'members': [{'user': {'username': 'Mock', 'public_flags': 0, 'primary_guild': None, 'id': '1484287977503850506', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1889', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1484292417963167797', '1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-19T20:48:09.356000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'system_channel_id': '1373836529885253735', 'owner_configured_content_level': 0, 'stickers': [], 'version': 1747618599859, 'moderator_reporting': None, 'embedded_activities': [], 'explicit_content_filter': 0, 'hub_type': None, 'preferred_locale': 'en-US'}}
[2026-03-22 22:13:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-22 22:13:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'd5f60f7c7ca68aa9ee23ae9cf8741bd2', 'members': [{'user': {'username': 'iiiii5184', 'public_flags': 0, 'primary_guild': None, 'id': '138119027871449088', 'global_name': '.', 'display_name_styles': None, 'display_name': '.', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1144057023726628945', 'expires_at': None, 'asset': 'a_9b7b74e72efe1bc5a6beddced3da3c0f'}, 'avatar': '469ed7d2895c1c5b9cff1eb9caa190b8'}, 'roles': ['1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T01:35:53.270000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'microsina', 'public_flags': 128, 'primary_guild': None, 'id': '152945337080872960', 'global_name': 'Microsina', 'display_name_styles': None, 'display_name': 'Microsina', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd1f861534c8d952fd8f8233237d9e3d8'}, 'roles': ['1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-20T01:13:13.825000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'kessatsu', 'public_flags': 0, 'primary_guild': None, 'id': '168447154229084161', 'global_name': 'Kess', 'display_name_styles': None, 'display_name': 'Kess', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1377377712104018071', 'palette': 'teal', 'label': 'COLLECTIBLES_NAMEPLATES_V2_STARFALL_TIDES_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates_v2/starfall_tides/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1432550258264768573', 'expires_at': None, 'asset': 'a_8eec6d2e73acee219217e2d3da4af753'}, 'avatar': 'c08066a2a162c17625ca1f178e30e430'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T06:23:53.245000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Carl-bot', 'public_flags': 65536, 'primary_guild': None, 'id': '235148962103951360', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1536', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ed3dac3b6e7a851df781632a4295fcb9'}, 'roles': ['1388962629728604213'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-29T19:21:36.679000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'flukeisoffline', 'public_flags': 0, 'primary_guild': None, 'id': '275380260667785217', 'global_name': 'Fluke', 'display_name_styles': None, 'display_name': 'Fluke', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f0b4d32d5f0d214ff24f9c07056f0acf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T06:23:06.812000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'bakerthebread', 'public_flags': 0, 'primary_guild': None, 'id': '389090102594240513', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ddf4ee40396034427361980c86e5eb02'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-29T21:20:55.072000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'pikpikcarrott', 'public_flags': 0, 'primary_guild': None, 'id': '392403339196891137', 'global_name': 'pikpikcarrott', 'display_name_styles': None, 'display_name': 'pikpikcarrott', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f3334d157fb00c5dc8e5a1f21e6c99ee'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-29T23:46:07.111000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'b1nderr', 'public_flags': 256, 'primary_guild': None, 'id': '410907065167380481', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '1f9e027eee2c253572a1dc1a91f137b5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-29T23:19:25.575000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'EasyPoll', 'public_flags': 589824, 'primary_guild': None, 'id': '437618149505105920', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3712', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd0601eb992a9b97abcbc4352f7f6beec'}, 'roles': ['1460350529229295659'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-12T19:11:38.285000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'domo209', 'public_flags': 0, 'primary_guild': {'tag': 'RAFO', 'identity_guild_id': '304777819936784385', 'identity_enabled': True, 'badge': '7d02fa4193ef99f650d76c6f4cf18305'}, 'id': '461011970397700100', 'global_name': 'Domo', 'display_name_styles': None, 'display_name': 'Domo', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4c134a61620de935040ae4a294ad19a4'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-28T02:54:34.971000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'daniel.a.l', 'public_flags': 0, 'primary_guild': None, 'id': '547485299358564383', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd7373f542a76fad400db2da696ef56c5'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T11:39:01.478000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'slavian2952', 'public_flags': 0, 'primary_guild': None, 'id': '589490147222093825', 'global_name': 'Daveed>:)', 'display_name_styles': None, 'display_name': 'Daveed>:)', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '780708f30ee0955d56503441a8e23159'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-01T00:22:56.503000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FlaviBot', 'public_flags': 65536, 'primary_guild': None, 'id': '684773505157431347', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2819', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_521d1afb63e630ee2baabc76d9a3b723'}, 'roles': ['1385984069900439585'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T14:05:52.702000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'TempVoice', 'public_flags': 65536, 'primary_guild': None, 'id': '762217899355013120', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5646', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_e2d87a0bc428b5e6f350f95f2d11cedd'}, 'roles': ['1385984491813863567'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T14:07:33.245000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'fishsalmon', 'public_flags': 0, 'primary_guild': None, 'id': '764293999669280778', 'global_name': 'FishSalmon', 'display_name_styles': None, 'display_name': 'FishSalmon', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '83fb36ba314ca5bdd262e786ea25ba92'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-25T05:21:52.691000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Spoticord Music', 'public_flags': 65536, 'primary_guild': None, 'id': '778719049143025664', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4270', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'e035324294dfb38e9552ca028e35867e'}, 'roles': ['1425271616732139606'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-08T00:00:33.766000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Mock', 'public_flags': 0, 'primary_guild': None, 'id': '1484287977503850506', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1889', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1484292417963167797', '1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-19T20:48:09.356000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1373836529390190602', 'chunk_index': 0, 'chunk_count': 1}}
[2026-03-22 22:13:50] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-22 22:13:50] [DEBUG   ] discord.state: Processed a chunk for 17 members in guild ID 1373836529390190602.
[2026-03-22 22:13:52] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-03-22 22:13:52] [DEBUG   ] discord.client: Dispatching event ready
[2026-03-22 22:14:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '138119027871449088', 'timestamp': 1774232058, 'member': {'user': {'username': 'iiiii5184', 'public_flags': 0, 'primary_guild': None, 'id': '138119027871449088', 'global_name': '.', 'display_name_styles': None, 'display_name': '.', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1144057023726628945', 'expires_at': None, 'asset': 'a_9b7b74e72efe1bc5a6beddced3da3c0f'}, 'avatar': '469ed7d2895c1c5b9cff1eb9caa190b8'}, 'roles': ['1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T01:35:53.270000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1388962736083570889', 'guild_id': '1373836529390190602'}}
[2026-03-22 22:14:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-22 22:14:18] [DEBUG   ] discord.client: Dispatching event typing
[2026-03-22 22:14:18] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-03-22 22:14:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-03-23T02:14:20.324000+00:00', 'pinned': False, 'nonce': '1485461668262576128', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1484296148427477053'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-19T01:35:53.270000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1485461668543729746', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!print_usrs', 'components': [], 'channel_type': 0, 'channel_id': '1388962736083570889', 'author': {'username': 'iiiii5184', 'public_flags': 0, 'primary_guild': None, 'id': '138119027871449088', 'global_name': '.', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1144057023726628945', 'expires_at': None, 'asset': 'a_9b7b74e72efe1bc5a6beddced3da3c0f'}, 'avatar': '469ed7d2895c1c5b9cff1eb9caa190b8'}, 'attachments': [], 'guild_id': '1373836529390190602'}}
